DateIssued,0,1,2,3,4,5,6
3,,,2.0,73.0,3.0,,
4,,,,77.0,16.0,,
5,,,,40.0,17.0,,
6,,,4.0,63.0,,,
9,,,,3.0,,,
10,,,,5.0,,,
11,,,,69.0,,1.0,
12,,,,10.0,1.0,,
13,,,,19.0,4.0,,
16,,,,1.0,,,
17,,,1.0,26.0,,,
18,,,,54.0,5.0,,
19,,,1.0,79.0,12.0,,
20,,,9.0,42.0,2.0,,
21,,,,,,1.0,
23,,,,40.0,11.0,,
24,,,13.0,45.0,20.0,,
25,,,2.0,48.0,9.0,,
26,,,6.0,45.0,17.0,,
27,,,,14.0,,2.0,
28,,,,1.0,,3.0,
29,,,,,,1.0,
30,,,1.0,10.0,,,
31,,,4.0,57.0,18.0,,
32,,,,31.0,8.0,,
33,,,4.0,26.0,17.0,,
34,,,1.0,29.0,8.0,,
35,1.0,,,,1.0,,
37,,,6.0,39.0,16.0,,
38,,,5.0,48.0,1.0,,
39,,,8.0,49.0,,,
40,,,9.0,23.0,,1.0,
41,,,1.0,58.0,24.0,,
42,,,,1.0,1.0,,2.0
44,,,9.0,54.0,25.0,,
45,,1.0,6.0,31.0,10.0,,
46,,,8.0,18.0,3.0,,
47,,,3.0,10.0,2.0,,
48,,,2.0,25.0,11.0,,
49,,,,1.0,2.0,,1.0
52,,,7.0,27.0,3.0,,
53,,,8.0,12.0,,,
54,,,9.0,5.0,16.0,,
55,,,8.0,26.0,7.0,,
56,,,1.0,1.0,2.0,,
58,,,15.0,25.0,9.0,1.0,
59,,,2.0,24.0,,,
60,,,1.0,38.0,4.0,,
61,,,2.0,44.0,2.0,,
62,,,3.0,39.0,17.0,,
63,,,,,2.0,,
64,,,,1.0,,,
65,1.0,,1.0,1.0,,,
66,,,4.0,32.0,34.0,,
67,,,,10.0,3.0,,
68,,,2.0,16.0,30.0,,
69,,,,20.0,10.0,,
70,,,,1.0,,,
72,,,,34.0,12.0,,
73,,,,15.0,16.0,,
74,,,1.0,41.0,34.0,,
75,,,1.0,8.0,,,
76,,,1.0,40.0,5.0,,
77,,,,2.0,1.0,,
78,,,1.0,,,,
79,,,,18.0,8.0,,
80,,,1.0,21.0,,,
81,,,1.0,35.0,23.0,1.0,
82,,,1.0,38.0,9.0,,
83,1.0,,1.0,24.0,,,
84,,,,,1.0,1.0,
86,,,,1.0,,,
87,,,,14.0,,,
88,,,3.0,49.0,12.0,,
89,,,3.0,36.0,4.0,,
90,,,,,,1.0,
91,,,1.0,3.0,1.0,,
93,,,,,1.0,,
94,,,,1.0,,,
95,,,,3.0,1.0,,
97,,,,1.0,1.0,,
98,,,,,1.0,,
100,,,1.0,42.0,13.0,,
101,,,,,,2.0,
102,,,,12.0,1.0,1.0,
103,,,,1.0,,,
104,,,,,2.0,,
105,,,1.0,1.0,,1.0,
106,,,,,1.0,,
107,,,,2.0,,,
108,,,5.0,33.0,1.0,,
109,,,4.0,22.0,12.0,1.0,
110,,,5.0,40.0,8.0,,
111,,,1.0,1.0,,1.0,
113,,,,,,,1.0
114,,,,6.0,,,
115,,,6.0,43.0,21.0,,
116,,,10.0,63.0,6.0,,
117,,,1.0,16.0,10.0,,
118,,,1.0,16.0,1.0,,
119,,,,,3.0,1.0,
120,,,,1.0,,,
121,,,7.0,52.0,5.0,,
122,,,4.0,39.0,3.0,,
123,,,3.0,14.0,,,
124,,,11.0,39.0,2.0,,
125,,,,6.0,,,
126,,,,1.0,,1.0,
127,,1.0,,,,1.0,
128,,,1.0,12.0,3.0,,
129,,,1.0,20.0,,,
130,,,1.0,31.0,,,
131,,,,9.0,,,
132,1.0,,1.0,20.0,1.0,2.0,
133,,,1.0,2.0,1.0,,
134,,,,1.0,,,
135,,,,3.0,3.0,,
136,,,4.0,41.0,20.0,,
137,,,4.0,14.0,9.0,,
138,,,4.0,30.0,17.0,,
139,,,5.0,1.0,,3.0,
142,,,2.0,29.0,,,
143,,,9.0,80.0,18.0,,
144,,,5.0,43.0,20.0,,
145,,,8.0,22.0,4.0,,
146,,,5.0,2.0,1.0,,
150,,,5.0,15.0,3.0,1.0,
151,,,9.0,11.0,4.0,,
152,,,,7.0,,1.0,
153,,,5.0,35.0,4.0,,
156,,,10.0,51.0,2.0,,
157,,,5.0,68.0,,,
158,,,8.0,55.0,13.0,,
159,,,5.0,25.0,,1.0,
160,,,,23.0,1.0,,1.0
161,,,1.0,2.0,1.0,,
163,,,,40.0,1.0,,
164,,,8.0,26.0,10.0,,
165,,,7.0,46.0,16.0,,
166,,,1.0,5.0,1.0,,
167,,,8.0,26.0,,,
168,,,1.0,,1.0,,
170,,,7.0,10.0,1.0,,
171,,,3.0,,1.0,,
172,,,,7.0,5.0,,
173,,,3.0,64.0,3.0,,
174,,,3.0,48.0,7.0,,
177,,,4.0,26.0,10.0,,
178,,,6.0,6.0,,,
179,,,2.0,18.0,10.0,,
180,,,,25.0,9.0,,
181,,,,43.0,23.0,,
184,,,,,1.0,,
186,,,4.0,19.0,13.0,,
187,,,12.0,45.0,18.0,1.0,
188,,,6.0,34.0,18.0,1.0,
191,,,4.0,38.0,3.0,,
192,,,7.0,31.0,2.0,,
193,,,5.0,17.0,18.0,,
194,,,6.0,30.0,19.0,,
195,,,1.0,4.0,,,
197,,,,,1.0,,
198,,,11.0,21.0,2.0,,
199,,,4.0,27.0,12.0,,
200,,,7.0,43.0,13.0,,
201,,,,2.0,2.0,,
202,,,4.0,30.0,,5.0,
203,,,,1.0,1.0,1.0,
205,,,3.0,6.0,1.0,,
206,,,1.0,26.0,14.0,,
207,,,4.0,26.0,1.0,1.0,
208,,,,19.0,,,
209,,,7.0,48.0,15.0,,
210,,,,1.0,,,
212,,,6.0,33.0,1.0,,
213,,,7.0,19.0,2.0,,
214,,,,5.0,1.0,1.0,
215,,,1.0,26.0,3.0,,
216,,,,,2.0,,
217,,,,,,1.0,
219,,,,3.0,,,
220,,,7.0,52.0,4.0,,
221,,,2.0,24.0,,,
222,,,3.0,28.0,,,
223,,,,27.0,2.0,,
225,,,1.0,,,,
226,,,3.0,2.0,1.0,,
227,,,4.0,18.0,3.0,1.0,
228,,1.0,,1.0,,,
229,,,3.0,41.0,21.0,,
230,,,1.0,1.0,,,
231,,,,2.0,,,
233,,,,2.0,5.0,,
234,,,3.0,22.0,11.0,,
235,,,4.0,21.0,1.0,,
236,,,4.0,43.0,2.0,1.0,
237,,,,21.0,9.0,,
239,,,,,1.0,,
240,,,,3.0,1.0,,
241,,,,23.0,2.0,,
242,,,1.0,50.0,18.0,,
243,,,1.0,6.0,2.0,,
244,,,22.0,5.0,2.0,,
248,,,,3.0,37.0,,
249,,,,19.0,19.0,2.0,
250,,,,6.0,64.0,,
251,,,1.0,2.0,3.0,,
252,,,,1.0,,,
254,,,,2.0,54.0,29.0,
255,,,20.0,38.0,38.0,1.0,
256,,,15.0,23.0,51.0,1.0,
257,,,17.0,19.0,,,
258,,,1.0,3.0,,,
261,,,,13.0,,,
262,,,3.0,7.0,35.0,,
263,,,,32.0,35.0,30.0,
264,,,3.0,10.0,34.0,,
266,,,,,36.0,,
267,,,,,,1.0,
268,,,,2.0,,,
269,,,,1.0,,11.0,
270,,,,,1.0,20.0,
271,,,,1.0,,,
272,,,,,,21.0,
273,,,,,36.0,,
276,,,2.0,6.0,6.0,14.0,
277,,,,4.0,2.0,,
278,,,1.0,,2.0,2.0,
279,,,2.0,,2.0,1.0,
282,,,2.0,4.0,,,
283,,,1.0,5.0,41.0,1.0,
284,,,,35.0,25.0,14.0,
285,,,16.0,21.0,1.0,5.0,
286,,,,17.0,1.0,8.0,
287,,,,14.0,48.0,,
289,,,,2.0,12.0,,
290,,,2.0,12.0,10.0,25.0,
291,,,,13.0,8.0,22.0,
292,,,2.0,14.0,21.0,,
293,,,1.0,2.0,,,
294,,,,,1.0,,
296,,,,7.0,,,
297,,,,9.0,,28.0,
298,,,,20.0,7.0,1.0,
299,,,1.0,5.0,2.0,,
300,,,,16.0,8.0,13.0,
301,,,,,9.0,,1.0
303,,,,11.0,38.0,24.0,
304,,,1.0,6.0,13.0,,
305,,,,6.0,38.0,2.0,
306,,,1.0,25.0,18.0,,
307,,,1.0,,1.0,1.0,
309,,,,,,,1.0
310,,,1.0,5.0,1.0,4.0,
311,,,,2.0,2.0,,
312,,,1.0,8.0,7.0,,
313,,,1.0,3.0,2.0,,
315,,,1.0,,21.0,,
316,,,1.0,,,,
317,,,1.0,12.0,25.0,,
318,,,,1.0,2.0,13.0,
319,,,,,13.0,,
320,,,,3.0,2.0,,
321,,,,5.0,1.0,,
325,,,,4.0,1.0,,
326,,,,1.0,,,
329,,,,,,1.0,
331,,,3.0,3.0,,,
332,,,2.0,1.0,,,
333,,,,,1.0,,
334,,,,40.0,21.0,,
335,,,,33.0,,,
336,,,,1.0,,3.0,
337,,,,1.0,,,
338,,,1.0,35.0,1.0,,
340,,,,7.0,,,
341,,,,7.0,,,
342,,,,1.0,,,
345,,,,3.0,1.0,1.0,1.0
346,,,1.0,2.0,,,
347,,,,,2.0,,
348,,,,,1.0,1.0,
349,,,1.0,5.0,1.0,,
352,,,,2.0,1.0,,
353,,,,3.0,,,
354,,,,3.0,,,
355,,,1.0,1.0,,2.0,
361,,,,3.0,1.0,,
362,,,1.0,,,,
363,1.0,,,,,,
365,,,,,1.0,,
